branch,lines,interruption_pct,interruption_type,trial,recovery_ms
nowal,100000,10,stop,7,46.334
nowal,100000,10,stop,8,48.312
nowal,100000,10,stop,9,45.253
nowal,100000,10,stop,10,50.232
wal,100000,10,kill,1,48.068
wal,100000,10,kill,2,48.242
wal,100000,10,kill,3,47.114
wal,100000,10,kill,4,47.934
wal,100000,10,kill,5,47.167
wal,100000,10,kill,6,46.312
wal,100000,10,kill,7,29.741
wal,100000,10,kill,8,45.493
wal,100000,10,kill,9,45.800
wal,100000,10,kill,10,46.578
nowal,100000,10,kill,1,56.868
nowal,100000,10,kill,2,60.158
nowal,100000,10,kill,3,58.666
nowal,100000,10,kill,4,31.728
nowal,100000,10,kill,5,55.143
nowal,100000,10,kill,6,58.507
nowal,100000,10,kill,7,58.670
nowal,100000,10,kill,8,78.617
nowal,100000,10,kill,9,56.493
nowal,100000,10,kill,10,55.100
wal,100000,50,stop,1,71.357
wal,100000,50,stop,2,65.538
wal,100000,50,stop,3,63.452
wal,100000,50,stop,4,65.795
wal,100000,50,stop,5,65.004
wal,100000,50,stop,6,64.063
wal,100000,50,stop,7,66.241
wal,100000,50,stop,8,64.882
wal,100000,50,stop,9,65.549
wal,100000,50,stop,10,65.502
nowal,100000,50,stop,1,114.916
nowal,100000,50,stop,2,106.754
nowal,100000,50,stop,3,118.175
nowal,100000,50,stop,4,109.317
nowal,100000,50,stop,5,108.926
nowal,100000,50,stop,6,109.795
nowal,100000,50,stop,7,122.305
nowal,100000,50,stop,8,111.218
nowal,100000,50,stop,9,107.370
nowal,100000,50,stop,10,108.569
wal,100000,50,kill,1,115.697
wal,100000,50,kill,2,122.679
wal,100000,50,kill,3,127.299
wal,100000,50,kill,4,95.958
wal,100000,50,kill,5,119.965
wal,100000,50,kill,6,119.650
wal,100000,50,kill,7,117.066
wal,100000,50,kill,8,120.339
wal,100000,50,kill,9,121.830
wal,100000,50,kill,10,107.794
nowal,100000,50,kill,1,131.816
nowal,100000,50,kill,2,139.160
nowal,100000,50,kill,3,132.461
nowal,100000,50,kill,4,133.580
nowal,100000,50,kill,5,137.083
nowal,100000,50,kill,6,137.362
nowal,100000,50,kill,7,142.545
nowal,100000,50,kill,8,137.758
nowal,100000,50,kill,9,136.933
nowal,100000,50,kill,10,133.790
wal,100000,100,stop,1,124.353
wal,100000,100,stop,2,119.208
wal,100000,100,stop,3,124.762
wal,100000,100,stop,4,115.682
wal,100000,100,stop,5,129.467
wal,100000,100,stop,6,123.545
wal,100000,100,stop,7,129.580
wal,100000,100,stop,8,140.495
wal,100000,100,stop,9,128.101
wal,100000,100,stop,10,129.391
nowal,100000,100,stop,1,223.580
nowal,100000,100,stop,2,222.412
nowal,100000,100,stop,3,225.561
nowal,100000,100,stop,4,219.830
nowal,100000,100,stop,5,215.673
nowal,100000,100,stop,6,216.791
nowal,100000,100,stop,7,217.239
nowal,100000,100,stop,8,211.216
nowal,100000,100,stop,9,214.461
nowal,100000,100,stop,10,232.825
wal,100000,100,kill,1,220.438
wal,100000,100,kill,2,212.914
wal,100000,100,kill,3,185.925
wal,100000,100,kill,4,199.926
wal,100000,100,kill,5,219.065
wal,100000,100,kill,6,226.295
wal,100000,100,kill,7,216.609
wal,100000,100,kill,8,217.857
wal,100000,100,kill,9,215.131
wal,100000,100,kill,10,214.595
nowal,100000,100,kill,1,245.095
nowal,100000,100,kill,2,234.858
nowal,100000,100,kill,3,241.649
nowal,100000,100,kill,4,231.361
nowal,100000,100,kill,5,242.971
nowal,100000,100,kill,6,250.910
nowal,100000,100,kill,7,244.331
nowal,100000,100,kill,8,227.616
nowal,100000,100,kill,9,228.017
nowal,100000,100,kill,10,235.651
wal,500000,10,stop,1,66.460
wal,500000,10,stop,2,66.211
wal,500000,10,stop,3,71.280
wal,500000,10,stop,4,67.467
wal,500000,10,stop,5,72.051
wal,500000,10,stop,6,72.364
wal,500000,10,stop,7,68.670
wal,500000,10,stop,8,62.872
wal,500000,10,stop,9,66.575
wal,500000,10,stop,10,71.691
nowal,500000,10,stop,1,119.545
nowal,500000,10,stop,2,117.352
nowal,500000,10,stop,3,120.815
nowal,500000,10,stop,4,118.911
nowal,500000,10,stop,5,118.851
nowal,500000,10,stop,6,118.057
nowal,500000,10,stop,7,121.842
nowal,500000,10,stop,8,131.709
nowal,500000,10,stop,9,122.636
nowal,500000,10,stop,10,115.022
wal,500000,10,kill,1,118.061
wal,500000,10,kill,2,129.319
wal,500000,10,kill,3,129.048
wal,500000,10,kill,4,125.580
wal,500000,10,kill,5,125.255
wal,500000,10,kill,6,125.200
wal,500000,10,kill,7,120.524
wal,500000,10,kill,8,122.483
wal,500000,10,kill,9,121.746
wal,500000,10,kill,10,116.625
nowal,500000,10,kill,1,135.251
nowal,500000,10,kill,2,137.906
nowal,500000,10,kill,3,130.955
nowal,500000,10,kill,4,138.899
nowal,500000,10,kill,5,132.088
nowal,500000,10,kill,6,117.548
nowal,500000,10,kill,7,141.405
nowal,500000,10,kill,8,137.245
nowal,500000,10,kill,9,136.031
nowal,500000,10,kill,10,139.502
wal,500000,50,stop,1,327.744
wal,500000,50,stop,2,313.408
wal,500000,50,stop,3,316.162
wal,500000,50,stop,4,318.366
wal,500000,50,stop,5,315.749
wal,500000,50,stop,6,330.416
wal,500000,50,stop,7,312.864
wal,500000,50,stop,8,320.086
wal,500000,50,stop,9,322.793
wal,500000,50,stop,10,336.914
nowal,500000,50,stop,1,555.565
nowal,500000,50,stop,2,609.432
nowal,500000,50,stop,3,534.468
nowal,500000,50,stop,4,542.363
nowal,500000,50,stop,5,531.082
nowal,500000,50,stop,6,509.227
nowal,500000,50,stop,7,513.011
nowal,500000,50,stop,8,518.312
nowal,500000,50,stop,9,527.988
nowal,500000,50,stop,10,522.800
wal,500000,50,kill,1,496.600
wal,500000,50,kill,2,490.267
wal,500000,50,kill,3,497.022
wal,500000,50,kill,4,497.826
wal,500000,50,kill,5,465.374
wal,500000,50,kill,6,489.446
wal,500000,50,kill,7,502.144
wal,500000,50,kill,8,493.579
wal,500000,50,kill,9,482.835
wal,500000,50,kill,10,481.755
nowal,500000,50,kill,1,550.080
nowal,500000,50,kill,2,541.271
nowal,500000,50,kill,3,515.723
nowal,500000,50,kill,4,542.479
nowal,500000,50,kill,5,551.427
nowal,500000,50,kill,6,546.389
nowal,500000,50,kill,7,558.151
nowal,500000,50,kill,8,549.921
nowal,500000,50,kill,9,529.151
nowal,500000,50,kill,10,543.163
wal,500000,100,stop,1,653.142
wal,500000,100,stop,2,679.407
wal,500000,100,stop,3,683.794
wal,500000,100,stop,4,649.712
wal,500000,100,stop,5,652.582
wal,500000,100,stop,6,693.455
wal,500000,100,stop,7,684.555
wal,500000,100,stop,8,648.925
wal,500000,100,stop,9,672.986
wal,500000,100,stop,10,660.522
nowal,500000,100,stop,1,1094.109
nowal,500000,100,stop,2,1128.953
nowal,500000,100,stop,3,1044.125
nowal,500000,100,stop,4,1087.506
nowal,500000,100,stop,5,1045.627
nowal,500000,100,stop,6,1100.889
nowal,500000,100,stop,7,1099.991
nowal,500000,100,stop,8,1083.866
nowal,500000,100,stop,9,1043.233
nowal,500000,100,stop,10,1043.671
wal,500000,100,kill,1,961.820
wal,500000,100,kill,2,955.683
wal,500000,100,kill,3,963.404
wal,500000,100,kill,4,980.323
wal,500000,100,kill,5,961.619
wal,500000,100,kill,6,969.282
wal,500000,100,kill,7,950.675
wal,500000,100,kill,8,994.943
wal,500000,100,kill,9,967.885
wal,500000,100,kill,10,963.240
nowal,500000,100,kill,1,1059.438
nowal,500000,100,kill,2,1083.444
nowal,500000,100,kill,3,1044.107
nowal,500000,100,kill,4,1083.608
nowal,500000,100,kill,5,1098.014
nowal,500000,100,kill,6,1095.612
nowal,500000,100,kill,7,1095.824
nowal,500000,100,kill,8,1053.013
nowal,500000,100,kill,9,1081.477
nowal,500000,100,kill,10,1105.981
wal,1000000,10,stop,1,124.800
wal,1000000,10,stop,2,131.681
wal,1000000,10,stop,3,131.342
wal,1000000,10,stop,4,127.307
wal,1000000,10,stop,5,124.149
wal,1000000,10,stop,6,125.769
wal,1000000,10,stop,7,127.629
wal,1000000,10,stop,8,126.420
wal,1000000,10,stop,9,127.859
wal,1000000,10,stop,10,126.720
nowal,1000000,10,stop,1,210.504
nowal,1000000,10,stop,2,206.454
nowal,1000000,10,stop,3,206.400
nowal,1000000,10,stop,4,211.070
nowal,1000000,10,stop,5,205.440
nowal,1000000,10,stop,6,211.466
nowal,1000000,10,stop,7,200.702
nowal,1000000,10,stop,8,203.976
nowal,1000000,10,stop,9,207.279
nowal,1000000,10,stop,10,208.835
wal,1000000,10,kill,1,214.236
wal,1000000,10,kill,2,215.665
wal,1000000,10,kill,3,224.811
wal,1000000,10,kill,4,224.334
wal,1000000,10,kill,5,221.594
wal,1000000,10,kill,6,218.244
wal,1000000,10,kill,7,213.221
wal,1000000,10,kill,8,185.370
wal,1000000,10,kill,9,203.986
wal,1000000,10,kill,10,212.917
nowal,1000000,10,kill,1,233.606
nowal,1000000,10,kill,2,241.676
nowal,1000000,10,kill,3,225.586
nowal,1000000,10,kill,4,230.207
nowal,1000000,10,kill,5,229.650
nowal,1000000,10,kill,6,228.875
nowal,1000000,10,kill,7,226.831
nowal,1000000,10,kill,8,234.808
nowal,1000000,10,kill,9,236.427
nowal,1000000,10,kill,10,232.726
wal,1000000,50,stop,1,657.616
wal,1000000,50,stop,2,668.949
wal,1000000,50,stop,3,648.548
wal,1000000,50,stop,4,650.702
wal,1000000,50,stop,5,662.573
